MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,release_speed,initial_angle,release_x,release_y,release_z,pre_bounce_ax,pre_bounce_ay,pre_bounce_az,pre_bounce_vx,pre_bounce_vy,pre_bounce_vz,bounce_angle,cof,cor,pbr,shot_attacked,shot_played,shot_info,crease_reaction_time,interception_reaction_time,bounce_x,bounce_y,post_bounce_ax,post_bounce_ay,post_bounce_az,post_bounce_vx,post_bounce_vy,post_bounce_vz,impact_x,impact_y,impact_z,crease_x,crease_y,crease_z,drop_angle,stump_x,stump_y,stump_z,swing,deviation,swing_dist,six_dist,ground,date,season,striker_hand,non_striker_hand,bowler_hand,team_bat,team_bowl,delivery_type,match_day
420,2,7,West Indies,Nicholas Pooran,Ravi Bishnoi,,13,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,12.2,2,1,0,181892,72.44,144.24,1,0,,28,GOOGLY,84,OFF DRIVE,0,0,3,12,94,2,0,0,1,0,0,0,0,0,59.08756474360067,1.068996536359566,8.340761891721776,-0.7354734910613334,1.862976582824057,-0.180906721831354,0.836130960565196,-10.5619455014849,-23.517873838076,1.67607076926205,-6.22237247368398,10.90869279589369,0.2762318059339217,0.6411528591259252,78.54974827549661,Attacked,Played,,0.712944030761719,0.6759109497070312,2.555698,0.161109,-0.11758936919038,0.0,-10.6,-20.7002235541252,1.52989300471297,1.52989300471297,-8.333802,0.22256,0.193248,-8.840935,0.260273,0.277875,-14.8197700576237,-10.06010315007601,0.3513853850803645,0.4557533019051764,1.592630913942909,0.1504179036013592,2.09151990044213e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,R,West-Indies,India,Spin,1.0
420,2,7,West Indies,Rovman Powell,Ravi Bishnoi,,13,3,6,6,6,0,0,0,0,0,0,0,0,0,0,1,,,,0,12.3,2,1,0,181893,-95.62,181.54,6,0,,28,GOOGLY,5,LOFT OFF,0,0,4,12,100,2,0,1,2,0,0,1,0,0,63.5741154506804,-0.8960636259489517,8.340685397629343,-0.6676242018718839,1.865805949881469,-0.1965467740647,-0.11570079079965,-10.8671046580389,-25.551080628411,0.247880240023265,-6.3167355320997,9.16622294609937,0.1883450745846281,0.6039496938475636,81.75794661867174,Attacked,Played,,0.671310424804688,0.6197891235351562,3.833608,-0.516783,-0.127755403142055,0.0,-10.6,-23.6427668903231,-0.243647347678066,-0.243647347678066,-8.094447,-0.536132,0.308561,-8.840995,-0.54392,0.39818,-13.88622742551562,-10.05994155807304,-0.5567040459279755,0.5218179168017033,-0.07005577710443663,-1.14626259813404,-8.28853917160996e-03,8.00000000000000e+01,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,R,L,R,West-Indies,India,Spin,1.0
420,2,7,West Indies,Rovman Powell,Ravi Bishnoi,,13,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,12.4,2,1,0,181894,-120.48,-32.1,1,0,,28,GOOGLY,36,CUT SHOT,0,0,5,12,101,2,0,0,2,0,0,0,0,0,58.8341744650788,-1.775228159044894,8.340735452440832,-0.8017682397763755,1.785575187825678,-0.18443657202708,1.24939182047283,-10.7860390964833,-23.9767543635204,0.96240215934565,-6.19136958259468,10.47940645847825,0.286434631899886,0.6296949678050754,75.8107819807727,Attacked,Played,,0.719100952148438,0.7408103942871094,5.882007,-0.477254,-0.119883771817602,0.0,-10.6,-21.0776408023517,1.09227529444162,1.09227529444162,-9.212152,-0.212569,0.672889,-8.840604,-0.232369,0.647038,-14.4788523757552,-10.06010817141948,-0.1672182322350227,0.7189746666825154,1.558366360329222,0.6679410371898925,1.61461240988412e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,R,L,R,West-Indies,India,Spin,1.0
420,2,7,West Indies,Nicholas Pooran,Ravi Bishnoi,,13,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,12.5,2,1,0,181895,116.18,-6.78,1,0,,28,GOOGLY,27,FORWARD PUSH,0,0,6,12,102,2,0,0,2,0,0,0,0,0,59.55336899780798,-1.474894237762955,8.340581264612439,-0.7451239373379218,1.816995814595671,-0.185916398220305,0.683867835007894,-10.9161328461794,-24.1691317686397,1.66703179803759,-6.26844038314631,7.955704609101317,0.2782879558686375,0.4812872248009402,54.36428813327728,Defended,Played,,0.700286865234375,0.6814727783203125,5.43006,0.018157,-0.120845658843198,0.0,-10.6,-21.5875866455031,1.54145312671429,1.54145312671429,-8.26093,0.280098,0.398289,-8.840836,0.322435,0.427679,-14.53971765117768,-10.06005707250386,0.4119076240014345,0.4634857510400884,1.108664409183925,0.1386040460805434,1.19940646837151e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,R,West-Indies,India,Spin,1.0
420,2,7,West Indies,Rovman Powell,Ravi Bishnoi,,13,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,12.6,2,1,0,181896,86.72,144.71,1,0,,28,GOOGLY,11,LOFT ON,0,0,7,12,103,2,0,0,2,0,0,0,0,0,59.98584838507297,0.1815123487069555,8.340881032382146,-0.7511837381363505,1.805096975902513,-0.185684714298439,0.705250182736305,-10.6626981002711,-24.1390128587971,1.12424493026957,-6.13816219159808,8.559711022569266,0.2142252577547138,0.5421807440487919,69.9045858318474,Attacked,Played,,0.716480255126953,0.6505393981933594,3.520108,-0.215132,-0.120695064293985,0.0,-10.6,-22.1104740013268,1.0892722300366,1.0892722300366,-8.01268,-0.142282,0.237538,-8.840844,-0.101058,0.329067,-14.26702047824776,-10.06001272389874,-0.04002550731418086,0.4366980930637649,1.149184025448121,0.1538418317743097,1.41796376038716e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,R,L,R,West-Indies,India,Spin,1.0
420,2,7,West Indies,Rovman Powell,Harshal Patel,,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,0,13.1,2,1,0,181897,86.72,144.71,0,0,,8,OFF CUTTER,11,LOFT ON,0,0,1,13,103,2,1,0,2,0,0,0,0,0,70.86112,-4.250568555786131,8.340647300139956,-0.8432830009083435,1.90038907718158,-0.220398193664333,-1.36613761579941,-8.44481901155017,-28.6517651763633,0.19027768418191,-6.07538279186806,7.379678323398883,0.4120803282546105,0.528892916416155,48.1259046369622,Attacked,Missed,,0.516929626464844,0.6507110595703125,5.115383,-0.62614,-0.143258825881817,0.0,-10.6,-24.8093680952731,0.873585726799705,0.873585726799705,-999.9,-999.9,-999.9,-8.841001,-0.487374,0.417858,-11.97179922555799,-10.06023071918606,-0.4432953162466221,0.4815360693543811,-1.058696560389156,1.63616346540215,-1.16572552416459e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,R,L,R,West-Indies,India,Seam,1.0
420,2,7,West Indies,Rovman Powell,Harshal Patel,,14,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,13.2,2,1,0,181898,155.78,30.52,1,0,,39,ANGLED IN,11,LOFT ON,0,0,2,13,104,2,0,0,2,0,0,0,0,0,80.61368059895915,-2.511616465758335,8.341181525356507,-0.9218608025770517,1.895849357558352,-0.247192394140079,2.0895836637327,-6.57333295942187,-32.1350112382102,2.54081112272823,-5.20047229537821,6.318459195251221,0.1878343476040489,0.6500000000000007,88.71656523959521,Attacked,Played,,0.520168304443359,0.47021484375,-0.3740860000000001,0.153587,-0.229535794558644,-0.537622627999556,-10.6,-30.5282606762997,2.41377056659182,2.41377056659182,-7.984331,-0.032345,0.410634,-8.841078,0.030935,0.284875,-9.192591919585851,-10.06014026403236,0.1242038060748178,0.0966064823429235,2.340001227409658,0.0,2.67801239510880e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,R,L,R,West-Indies,India,Seam,1.0
420,2,7,West Indies,Nicholas Pooran,Harshal Patel,,14,3,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,,,,0,13.3,2,1,1,181909,155.78,30.52,1,0,,8,OFF CUTTER,54,LEG GLANCE,0,0,3,13,105,2,0,0,2,0,0,0,0,0,71.85129494508796,-1.360269886646827,8.3406813472483,-0.7543568693479135,1.932620636580425,-0.220044915592726,-1.99260491976828,-9.35529934946666,-28.6058390270544,0.0364188271999565,-5.96981237295526,7.951158667303726,0.3434994208962051,0.5928510566482513,64.57771640761719,,,,0.583534240722656,0.6146507263183594,1.479939,-0.426043,-0.143029195135272,0.0,-10.6,-25.3394968578536,0.0332539929689178,0.0332539929689178,-999.9,-999.9,-999.9,-8.840707,-0.425701,0.095257,-11.78798779682294,-10.06016856147369,-0.4240924393050645,0.2487488769781511,-1.954444349839085,0.002246717676935959,-2.77642148156689e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,R,West-Indies,India,Seam,1.0
420,2,7,West Indies,Nicholas Pooran,Harshal Patel,,14,3,1 (LB),1,0,0,0,0,1,1,0,0,0,1,0,0,,,,0,13.3,2,1,1,181899,155.78,30.52,1,0,,38,STRAIGHT BALL,54,LEG GLANCE,0,0,4,13,106,2,0,0,2,0,0,0,0,0,83.45316484057888,-6.707949285995233,8.340887983136298,-0.8118181933419854,1.891779432596798,-0.260866651192528,2.64504104651307,-6.3759973797319,-33.9126646550286,1.57184682824003,-6.52423618562431,7.914814357130354,0.3045797745415735,0.6530143386347589,77.4941733410565,Attacked,Missed,,0.523086547851563,0.4990081787109375,6.354268,-0.430464,-0.169563323275143,0.0,-10.6,-30.6449872014071,1.08770440479422,1.08770440479422,-8.521871,-0.257202,0.587471,-8.841092,-0.245551,0.614412,-10.88971403090829,-10.06009358397294,-0.2008637143188739,0.7064677492799822,1.612820670948341,-0.6209647114478136,1.61807041852408e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,R,West-Indies,India,Seam,1.0
420,2,7,West Indies,Rovman Powell,Harshal Patel,,14,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,,,,0,13.4,2,1,0,181900,-52.33,-136.16,4,0,,8,OFF CUTTER,40,FLICK,0,0,5,13,110,2,0,0,2,0,0,0,0,0,72.9632020324261,0.2205130359097076,8.34059900118596,-0.9392647393590625,1.921346651846567,-0.216360441317476,-1.79793044818688,-8.75645514393828,-28.1268573712719,1.18752078291657,-5.75867682029462,7.974379834068769,0.1481396432204223,0.6500000000000012,92.68603567795796,Attacked,Played,,0.522651672363281,0.518096923828125,-1.942056000000001,0.264579,-0.200906124080513,-0.229447076933748,-10.6,-26.7205145027083,1.12814474377074,1.12814474377074,-7.601929,0.060601,0.810985,-8.840786,0.121621,0.614148,-11.57079818595727,-10.06005592487682,0.1789714628596824,0.4027461819394276,-1.794506903543118,0.0,-2.66031879451798e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,R,L,R,West-Indies,India,Seam,1.0
420,2,7,West Indies,Rovman Powell,Harshal Patel,,14,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,13.5,2,1,0,181901,80.73,152.07,1,0,,39,ANGLED IN,47,ON DRIVE,0,0,6,13,111,2,0,0,2,0,0,0,0,0,81.37256025260339,-3.129663994079419,8.340666429852682,-0.9377042721961908,1.899706066589127,-0.250420811388139,2.00571292634447,-6.32290824652539,-32.5547054804581,2.45638986976406,-5.26334552101868,6.312455470976925,0.1879622939877231,0.6499999999999997,88.70377060122766,Attacked,Played,,0.515373229980469,0.4850578308105469,0.6033310000000007,0.0576,-0.2325336105747,-0.528207079199978,-10.6,-30.9269702064352,2.33357037627586,2.33357037627586,-8.564558,-0.008736,0.174268,-8.840726,0.011592,0.131107,-9.183936238421815,-10.06003327796615,0.1031289494839894,0.09775504475778153,2.104384725306757,0.0,2.76931105092735e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,R,L,R,West-Indies,India,Seam,1.0
420,2,7,West Indies,Nicholas Pooran,Harshal Patel,,14,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,,,,0,13.6,2,1,0,181902,-121.4,60.45,2,0,,16,SLOW BOUNCER,46,FRONTFOOT PULL SHOT,0,0,7,13,113,2,0,0,2,0,0,0,0,0,75.2882541912838,-14.75600852407634,8.341045989985155,0.9352432347083133,1.798249150908491,-0.241315959199308,-0.848150158032791,-7.85079657413637,-31.37107469591,-1.53590457504605,-10.1182487944361,11.12416598492936,0.2353715662022561,0.5389486264968307,67.305137354299,Attacked,Played,,0.618862152099609,0.5578422546386719,12.380768,0.66204,-0.15685537347955,0.0,-12.6836639758228,-27.7333542264886,-0.752837442613442,-0.752837442613442,-7.654971,0.383304,1.187945,-8.840556,0.349074,1.209258,-17.87629340011796,-10.05992870720979,0.3136124659665785,1.203685962689809,-0.401058394833183,1.247976620753982,-2.06530539619489e-02,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,R,West-Indies,India,Seam,1.0
420,2,7,West Indies,Rovman Powell,Ravi Bishnoi,,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,14.1,2,1,0,181903,118.49,123.53,1,0,,28,GOOGLY,58,PULL SHOT,0,0,1,14,114,2,1,0,2,0,0,0,0,0,64.2177642963596,-5.860619127602867,8.340884916166402,-0.7215733893192386,1.830895519918964,-0.203985528671796,-0.0642854456917134,-10.2349484225765,-26.5181187273335,1.13721258193338,-6.7159874542572,9.608588368804407,0.1865248720384744,0.6177205845903405,84.00560048470363,Attacked,Played,,0.677970886230469,0.6412124633789062,8.226036,-0.297079,-0.132590593636668,0.0,-10.6,-24.5056782669546,0.710479427955052,0.710479427955052,-8.375865,-0.103975,0.78431,-8.84082,-0.089982,0.807219,-14.21192278257441,-10.06022280874223,-0.05310905586085318,0.8478955011125237,0.1305384560097869,-0.7949090075735729,7.45583879525535e-03,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,R,L,R,West-Indies,India,Spin,1.0
420,2,7,West Indies,Nicholas Pooran,Ravi Bishnoi,,15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,0,14.2,2,1,0,181904,87.64,134.12,1,0,,28,GOOGLY,84,OFF DRIVE,0,0,2,14,115,2,0,0,2,0,0,0,0,0,59.49272627336828,-0.1123522381578861,8.340749823095699,-0.6876841683419165,1.854986173872167,-0.183966308690715,0.431740402331445,-11.161884816919,-23.9156201297929,2.02714893703365,-6.35792939168757,8.9507505120601,0.2617737687118772,0.5294316041855361,63.23736375664269,Attacked,Played,,0.693809509277344,0.664581298828125,4.162558,0.388653,-0.119578100648965,0.0,-10.6,-21.3715264698264,1.90077039065066,1.90077039065066,-8.014101,0.578031,0.327095,-8.840885,0.652621,0.409582,-14.88763772189882,-10.06007286669757,0.7632542976200599,0.501867325250346,1.000270392716215,0.2375229683185201,1.14266823084643e-01,-1.00000000000000e+00,EDEN-GARDENS-KOLKATA,2022-02-18,2021/22,L,R,R,West-Indies,India,Spin,1.0
