,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,BallRuns,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,Wickets,IsBowlerWicket,BallName,Day,SESSION_NO,IsExtra,SNO,Xpitch,Ypitch,RunRuns,IsMaiden,OverImage,BowlTypeID,BowlTypeName,ShotTypeID,ShotType,IsBouncer,IsFreeHit,BallCount,BCCheck,TotalRuns,TotalWickets,BOWLING_LINE_ID,BOWLING_LENGTH_ID,FiveHaul,Flag,FlagSet,PenaltyRuns,IsFifty,IsHundred,IsTwoHundred,IsHattrick,STclientID,NSTclientID
227,4,856,2,35,Gujarat Titans,Vijay Shankar,Deepak Chahar,,17,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,16.4,1,1,0,298928,-137.51,10.26,1,0,,39,ANGLED IN,15,LOFTED COVER DRIVE,0,0,4,16,148,4,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,1083,1749
228,5,856,2,35,Gujarat Titans,Rahul Tewatia,Deepak Chahar,,17,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,16.5,1,1,0,298929,68.30,53.54,0,0,,39,ANGLED IN,51,FRONTFOOT COVERDRIVE,0,0,5,16,148,4,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,1749,1083
229,6,856,2,35,Gujarat Titans,Rahul Tewatia,Deepak Chahar,,17,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,16.6,1,1,0,298930,127.23,68.73,1,0,,30,ANGLED ACROSS,52,BACKFOOT COVERDRIVE,0,0,6,16,149,4,Outside Off stump,Short of Good Length,0,0,2,0,0,0,0,0,1749,1083
231,1,856,2,35,Gujarat Titans,Rahul Tewatia,Rajvardhan Hangargekar,,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,17.1,1,1,0,298931,127.23,68.73,0,0,,30,ANGLED ACROSS,5,LOFTED OFF DRIVE,0,0,1,17,149,4,Outside Off stump,Good Length,1,0,2,0,0,0,0,0,1749,1083
232,2,856,2,35,Gujarat Titans,Rahul Tewatia,Rajvardhan Hangargekar,,18,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,17.2,1,1,0,298932,60.47,95.44,0,0,,30,ANGLED ACROSS,5,LOFTED OFF DRIVE,0,0,2,17,149,4,Outside Off stump,Good Length,0,0,2,0,0,0,0,0,1749,1083
233,3,856,2,35,Gujarat Titans,Rahul Tewatia,Rajvardhan Hangargekar,,18,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,17.3,1,1,0,298933,47.12,110.17,1,0,,30,ANGLED ACROSS,84,FRONTFOOT OFF DRIVE,0,0,3,17,150,4,Off stump,Full Length,0,1,3,0,0,0,0,0,1749,1083
234,4,856,2,35,Gujarat Titans,Vijay Shankar,Rajvardhan Hangargekar,,18,4,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,17.4,1,1,0,298934,167.75,113.40,6,0,,39,ANGLED IN,46,FRONTFOOT PULL SHOT,0,0,4,17,156,4,Outside Off stump,Short of Good Length,0,0,3,0,0,0,0,0,1083,1749
235,5,856,2,35,Gujarat Titans,Vijay Shankar,Rajvardhan Hangargekar,,18,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,17.5,1,1,0,298935,167.75,113.40,0,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,5,17,156,4,Outside Off stump,Full Toss,0,0,3,0,0,0,0,0,1083,1749
236,6,856,2,35,Gujarat Titans,Vijay Shankar,Rajvardhan Hangargekar,,18,6,0 WK,W,0,0,0,0,1,0,0,0,0,0,0,0,1,Caught,WICKET,1,17.6,1,1,0,298936,167.75,113.40,0,0,,39,ANGLED IN,5,LOFTED OFF DRIVE,0,0,6,17,156,5,Outside Off stump,Full Length,1,0,3,0,0,0,0,0,1083,1749
237,1,856,2,35,Gujarat Titans,Rahul Tewatia,Deepak Chahar,,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,18.1,1,1,0,298937,167.75,113.40,0,0,,16,SLOW BOUNCER,46,FRONTFOOT PULL SHOT,0,0,1,18,156,5,Outside Off stump,Short Length,2,0,3,0,0,0,0,0,1749,2885
238,2,856,2,35,Gujarat Titans,Rahul Tewatia,Deepak Chahar,,19,2,4 (LB),4,0,0,0,0,1,4,0,0,0,1,1,0,0,,,0,18.2,1,1,1,298938,167.75,113.40,4,0,,39,ANGLED IN,40,FRONTFOOT FLICK,0,0,2,18,160,5,Leg stump,Yorker,0,0,3,0,0,0,0,0,1749,2885
239,3,856,2,35,Gujarat Titans,Rahul Tewatia,Deepak Chahar,,19,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,18.3,1,1,0,298939,-147.18,58.14,1,0,,16,SLOW BOUNCER,46,FRONTFOOT PULL SHOT,0,0,3,18,161,5,Outside Off stump,Short of Good Length,0,0,3,0,0,0,0,0,1749,2885
240,4,856,2,35,Gujarat Titans,Rashid Khan,Deepak Chahar,,19,4,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,18.4,1,1,0,298940,172.36,118.92,6,0,,47,SLOWER BALL,11,LOFTED ON DRIVE,0,0,4,18,167,5,Outside Off stump,Good Length,0,0,3,0,0,0,0,0,2885,1749
241,5,856,2,35,Gujarat Titans,Rashid Khan,Deepak Chahar,,19,5,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,18.5,1,1,0,298941,-44.05,-143.06,4,0,,38,STRAIGHT BALL,36,CUT SHOT,0,0,5,18,171,5,Outside Off stump,Short of Good Length,0,0,3,0,0,0,0,0,2885,1749
242,6,856,2,35,Gujarat Titans,Rashid Khan,Deepak Chahar,,19,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,18.6,1,1,0,298942,-44.05,-143.06,0,0,,16,SLOW BOUNCER,70,STEP DOWN PULL SHOT,0,0,6,18,171,5,Outside Off stump,Short Length,0,0,3,0,0,0,0,0,2885,1749
243,1,856,2,35,Gujarat Titans,Rahul Tewatia,Tushar Deshpande,,20,1,1 (WD),1,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,19.1,1,1,1,298943,-44.05,-143.06,1,0,,30,ANGLED ACROSS,5,LOFTED OFF DRIVE,0,0,1,19,172,5,Wide outside Off stump,Full Length,1,0,3,0,0,0,0,0,1749,2885
244,2,856,2,35,Gujarat Titans,Rahul Tewatia,Tushar Deshpande,,20,1,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,,0,19.1,1,1,0,298944,138.28,153.45,6,0,,30,ANGLED ACROSS,5,LOFTED OFF DRIVE,0,0,2,19,178,5,Outside Off stump,Full Length,0,0,3,0,0,0,0,0,1749,2885
245,3,856,2,35,Gujarat Titans,Rahul Tewatia,Tushar Deshpande,,20,2,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,,0,19.2,1,1,0,298945,-25.17,212.39,4,0,https://scores.bcci.tv/matchcentre/commentaryFiles/TATA-IPL-2023/Gujarat-Titans-VS-Chennai-Super-Kings-(31-Mar-2023)/File_2-20-298945.png,30,ANGLED ACROSS,53,FRONTFOOT STRAIGHT DRIVE,0,0,3,19,182,5,Outside Off stump,Full Length,0,0,3,0,0,0,0,0,1749,2885
